"id_cliente","nome","email","documento","tipo_pessoa","tipo_contato"
1,"Bárbara Pires","gabriel34@araujo.org","43856291709","Fisica","Email"
2,"João Lucas Alves","ocaldeira@hotmail.com","86452917000142","Juridica","Email"
3,"Henrique Mendes","thales85@uol.com.br","12376954000182","Juridica","Email"
4,"Lara Castro","lopesalicia@castro.br","52609431000153","Juridica","Email"
5,"Natália Carvalho","alice40@yahoo.com.br","91423680000101","Juridica","Celular"
6,"Kevin Nogueira","lmonteiro@nascimento.br","91246837013","Fisica","Celular"
7,"Yasmin Duarte","vicentepires@ig.com.br","91735406848","Fisica","Celular"
8,"Laura Nascimento","ffarias@bol.com.br","23498615000195","Juridica","Email"
9,"Natália Carvalho","rda-mota@pereira.org","53986721002","Fisica","Email"
10,"Thiago Nunes","wdias@hotmail.com","37861950212","Fisica","Email"
11,"Henrique Alves","da-pazdiego@hotmail.com","40319785610","Fisica","Celular"
12,"Maria Vitória Pires","ana-julia63@gmail.com","80374259160","Fisica","Celular"
13,"Maria Clara Moreira","xda-paz@uol.com.br","12560893000109","Juridica","Celular"
14,"Letícia Oliveira","opereira@da.net","32548970647","Fisica","Email"
15,"Ian Silva","maria-eduardaalves@ig.com.br","desconhecido","desconhecido","Email"
16,"Bianca Nascimento","ymelo@azevedo.br","51683729000140","Juridica","Email"
17,"Thiago Pires","ramoslivia@bol.com.br","26408193722","Fisica","Email"
18,"Joana Almeida","bmelo@uol.com.br","71493528041","Fisica","Email"
19,"Gabriela Lima","isabellada-cruz@araujo.br","25439107000161","Juridica","Email"
20,"Giovanna da Rosa","da-cruzsofia@hotmail.com","32890761000152","Juridica","Celular"
21,"Heitor Rodrigues","lunalopes@uol.com.br","83170645000108","Juridica","Celular"
22,"Mirella Silva","fernandonunes@peixoto.net","72953861000103","Juridica","Celular"
23,"Marcelo Pinto","noahcardoso@yahoo.com.br","desconhecido","desconhecido","Email"
24,"Evelyn Porto","emanuellacosta@farias.br","23014579000147","Juridica","Email"
25,"Beatriz Dias","isabel18@rezende.br","90354827000196","Juridica","Celular"
26,"Sofia Cardoso","antonio39@ribeiro.com","36249175000184","Juridica","Email"
27,"Erick Costela","yasmincardoso@yahoo.com.br","43806512906","Fisica","Celular"
28,"Isabella Peixoto","sbarbosa@gmail.com","95210346000120","Juridica","Celular"
29,"Letícia Aragão","juliaazevedo@porto.br","15470862000155","Juridica","Email"
30,"João da Cruz","fsales@da.br","82067154362","Fisica","Email"
